run_id,target,icmp_seq,ttl,rtt_ms,source_file
20260310_153356,192.168.70.142,1,64,0.264,network-analysis2\20260310_153356\ping_192.168.70.142.txt
20260310_153356,192.168.70.142,2,64,0.244,network-analysis2\20260310_153356\ping_192.168.70.142.txt
20260310_153356,192.168.70.142,3,64,0.239,network-analysis2\20260310_153356\ping_192.168.70.142.txt
20260310_153356,192.168.70.142,4,64,0.252,network-analysis2\20260310_153356\ping_192.168.70.142.txt
20260310_153356,192.168.70.142,5,64,0.245,network-analysis2\20260310_153356\ping_192.168.70.142.txt
20260310_153356,192.168.70.142,6,64,0.248,network-analysis2\20260310_153356\ping_192.168.70.142.txt
20260310_153356,192.168.70.142,7,64,0.246,network-analysis2\20260310_153356\ping_192.168.70.142.txt
20260310_153356,192.168.70.142,8,64,0.246,network-analysis2\20260310_153356\ping_192.168.70.142.txt
20260310_153356,192.168.70.142,9,64,0.252,network-analysis2\20260310_153356\ping_192.168.70.142.txt
20260310_153356,192.168.70.142,10,64,0.247,network-analysis2\20260310_153356\ping_192.168.70.142.txt
20260310_154549,192.168.26.143,1,64,4.29,network-analysis2\20260310_154549\ping_192.168.26.143.txt
20260310_154549,192.168.26.143,2,64,8.15,network-analysis2\20260310_154549\ping_192.168.26.143.txt
20260310_154549,192.168.26.143,3,64,5.01,network-analysis2\20260310_154549\ping_192.168.26.143.txt
20260310_154549,192.168.26.143,4,64,6.04,network-analysis2\20260310_154549\ping_192.168.26.143.txt
20260310_154549,192.168.26.143,5,64,4.45,network-analysis2\20260310_154549\ping_192.168.26.143.txt
20260310_154549,192.168.26.143,6,64,4.25,network-analysis2\20260310_154549\ping_192.168.26.143.txt
20260310_154549,192.168.26.143,7,64,3.52,network-analysis2\20260310_154549\ping_192.168.26.143.txt
20260310_154549,192.168.26.143,8,64,3.8,network-analysis2\20260310_154549\ping_192.168.26.143.txt
20260310_154711,192.168.26.148,1,64,4.42,network-analysis2\20260310_154711\ping_192.168.26.148.txt
20260310_154711,192.168.26.148,2,64,4.37,network-analysis2\20260310_154711\ping_192.168.26.148.txt
20260310_154711,192.168.26.148,3,64,4.42,network-analysis2\20260310_154711\ping_192.168.26.148.txt
20260310_154711,192.168.26.148,4,64,4.37,network-analysis2\20260310_154711\ping_192.168.26.148.txt
20260310_154711,192.168.26.148,5,64,4.21,network-analysis2\20260310_154711\ping_192.168.26.148.txt
20260310_154711,192.168.26.148,6,64,5.05,network-analysis2\20260310_154711\ping_192.168.26.148.txt
20260310_154711,192.168.26.148,7,64,3.62,network-analysis2\20260310_154711\ping_192.168.26.148.txt
20260310_154711,192.168.26.148,8,64,4.94,network-analysis2\20260310_154711\ping_192.168.26.148.txt
20260310_154711,192.168.26.148,9,64,4.39,network-analysis2\20260310_154711\ping_192.168.26.148.txt
20260310_154711,192.168.26.148,10,64,4.54,network-analysis2\20260310_154711\ping_192.168.26.148.txt
20260317_135201,192.168.20.1,1,64,0.258,network-analysis2\20260317_135201\ping_192.168.20.1.txt
20260317_135201,192.168.20.1,2,64,0.246,network-analysis2\20260317_135201\ping_192.168.20.1.txt
20260317_135201,192.168.20.1,3,64,0.24,network-analysis2\20260317_135201\ping_192.168.20.1.txt
20260317_135201,192.168.20.1,4,64,0.242,network-analysis2\20260317_135201\ping_192.168.20.1.txt
20260317_135201,192.168.20.1,5,64,0.245,network-analysis2\20260317_135201\ping_192.168.20.1.txt
20260317_135201,192.168.20.1,6,64,0.243,network-analysis2\20260317_135201\ping_192.168.20.1.txt
20260317_135201,192.168.20.1,7,64,0.241,network-analysis2\20260317_135201\ping_192.168.20.1.txt
20260317_135201,192.168.20.1,8,64,0.239,network-analysis2\20260317_135201\ping_192.168.20.1.txt
20260317_135201,192.168.20.1,9,64,0.234,network-analysis2\20260317_135201\ping_192.168.20.1.txt
20260317_135201,192.168.20.1,10,64,0.242,network-analysis2\20260317_135201\ping_192.168.20.1.txt
20260317_140442,192.168.20.1,1,64,0.254,network-analysis2\20260317_140442\ping_192.168.20.1.txt
20260317_140442,192.168.20.1,2,64,0.24,network-analysis2\20260317_140442\ping_192.168.20.1.txt
20260317_140442,192.168.20.1,3,64,0.246,network-analysis2\20260317_140442\ping_192.168.20.1.txt
20260317_140442,192.168.20.1,4,64,0.24,network-analysis2\20260317_140442\ping_192.168.20.1.txt
20260317_140442,192.168.20.1,5,64,0.237,network-analysis2\20260317_140442\ping_192.168.20.1.txt
20260317_140442,192.168.20.1,6,64,0.226,network-analysis2\20260317_140442\ping_192.168.20.1.txt
20260317_140442,192.168.20.1,7,64,0.246,network-analysis2\20260317_140442\ping_192.168.20.1.txt
20260317_140442,192.168.20.1,8,64,0.243,network-analysis2\20260317_140442\ping_192.168.20.1.txt
20260317_140442,192.168.20.1,9,64,0.244,network-analysis2\20260317_140442\ping_192.168.20.1.txt
20260317_140442,192.168.20.1,10,64,0.23,network-analysis2\20260317_140442\ping_192.168.20.1.txt
20260317_140610,192.168.20.60,1,64,0.417,network-analysis2\20260317_140610\ping_192.168.20.60.txt
20260317_140610,192.168.20.60,2,64,0.237,network-analysis2\20260317_140610\ping_192.168.20.60.txt
20260317_140610,192.168.20.60,3,64,0.23,network-analysis2\20260317_140610\ping_192.168.20.60.txt
20260317_140610,192.168.20.60,4,64,0.231,network-analysis2\20260317_140610\ping_192.168.20.60.txt
20260317_140610,192.168.20.60,5,64,0.237,network-analysis2\20260317_140610\ping_192.168.20.60.txt
20260317_140610,192.168.20.60,6,64,0.238,network-analysis2\20260317_140610\ping_192.168.20.60.txt
20260317_140610,192.168.20.60,7,64,0.225,network-analysis2\20260317_140610\ping_192.168.20.60.txt
20260317_140610,192.168.20.60,8,64,0.232,network-analysis2\20260317_140610\ping_192.168.20.60.txt
20260317_140610,192.168.20.60,9,64,0.234,network-analysis2\20260317_140610\ping_192.168.20.60.txt
20260317_140610,192.168.20.60,10,64,0.228,network-analysis2\20260317_140610\ping_192.168.20.60.txt
20260317_142017,192.168.20.1,1,64,5.24,network-analysis2\20260317_142017\ping_192.168.20.1.txt
20260317_142017,192.168.20.1,2,64,4.76,network-analysis2\20260317_142017\ping_192.168.20.1.txt
20260317_142017,192.168.20.1,3,64,4.77,network-analysis2\20260317_142017\ping_192.168.20.1.txt
20260317_142017,192.168.20.1,4,64,4.95,network-analysis2\20260317_142017\ping_192.168.20.1.txt
20260317_142017,192.168.20.1,5,64,4.79,network-analysis2\20260317_142017\ping_192.168.20.1.txt
20260317_142017,192.168.20.1,6,64,6.99,network-analysis2\20260317_142017\ping_192.168.20.1.txt
20260317_142017,192.168.20.1,7,64,4.78,network-analysis2\20260317_142017\ping_192.168.20.1.txt
20260317_142017,192.168.20.1,8,64,4.76,network-analysis2\20260317_142017\ping_192.168.20.1.txt
20260317_142017,192.168.20.1,9,64,4.88,network-analysis2\20260317_142017\ping_192.168.20.1.txt
20260317_142017,192.168.20.1,10,64,4.75,network-analysis2\20260317_142017\ping_192.168.20.1.txt
20260317_142112,192.168.120.1,1,64,5.17,network-analysis2\20260317_142112\ping_192.168.120.1.txt
20260317_142112,192.168.120.1,2,64,4.29,network-analysis2\20260317_142112\ping_192.168.120.1.txt
20260317_142112,192.168.120.1,3,64,4.26,network-analysis2\20260317_142112\ping_192.168.120.1.txt
20260317_142112,192.168.120.1,4,64,4.24,network-analysis2\20260317_142112\ping_192.168.120.1.txt
20260317_142112,192.168.120.1,5,64,4.27,network-analysis2\20260317_142112\ping_192.168.120.1.txt
20260317_142112,192.168.120.1,6,64,5.3,network-analysis2\20260317_142112\ping_192.168.120.1.txt
20260317_142112,192.168.120.1,7,64,4.35,network-analysis2\20260317_142112\ping_192.168.120.1.txt
20260317_142112,192.168.120.1,8,64,14.7,network-analysis2\20260317_142112\ping_192.168.120.1.txt
20260317_142112,192.168.120.1,9,64,4.26,network-analysis2\20260317_142112\ping_192.168.120.1.txt
20260317_142112,192.168.120.1,10,64,4.15,network-analysis2\20260317_142112\ping_192.168.120.1.txt
20260317_142234,192.168.120.61,1,64,24.2,network-analysis2\20260317_142234\ping_192.168.120.61.txt
20260317_142234,192.168.120.61,2,64,8.49,network-analysis2\20260317_142234\ping_192.168.120.61.txt
20260317_142234,192.168.120.61,3,64,8.81,network-analysis2\20260317_142234\ping_192.168.120.61.txt
20260317_142234,192.168.120.61,4,64,2.33,network-analysis2\20260317_142234\ping_192.168.120.61.txt
20260317_142234,192.168.120.61,5,64,3.15,network-analysis2\20260317_142234\ping_192.168.120.61.txt
20260317_142234,192.168.120.61,6,64,2.38,network-analysis2\20260317_142234\ping_192.168.120.61.txt
20260317_142234,192.168.120.61,7,64,2.86,network-analysis2\20260317_142234\ping_192.168.120.61.txt
20260317_142234,192.168.120.61,8,64,2.83,network-analysis2\20260317_142234\ping_192.168.120.61.txt
20260317_142234,192.168.120.61,9,64,2.12,network-analysis2\20260317_142234\ping_192.168.120.61.txt
20260317_142234,192.168.120.61,10,64,4.67,network-analysis2\20260317_142234\ping_192.168.120.61.txt
20260317_142434,192.168.120.1,1,64,0.26,network-analysis2\20260317_142434\ping_192.168.120.1.txt
20260317_142434,192.168.120.1,2,64,0.236,network-analysis2\20260317_142434\ping_192.168.120.1.txt
20260317_142434,192.168.120.1,3,64,0.291,network-analysis2\20260317_142434\ping_192.168.120.1.txt
20260317_142434,192.168.120.1,4,64,0.242,network-analysis2\20260317_142434\ping_192.168.120.1.txt
20260317_142434,192.168.120.1,5,64,0.245,network-analysis2\20260317_142434\ping_192.168.120.1.txt
