run_id,target,status,command,timestamp,tx_packets,rx_packets,packet_loss_pct,rtt_min_ms,rtt_avg_ms,rtt_max_ms,rtt_mdev_ms,samples_count,source_file
20260310_145213,192.168.50.1,command_failed,ping -c 10 192.168.50.1,Tue 10 Mar 14:52:13 GMT 2026,,,,,,,,0,network-analysis2\20260310_145213\ping_192.168.50.1.txt
20260310_145357,192.168.111.1,command_failed,ping -c 10 192.168.111.1,Tue 10 Mar 14:53:57 GMT 2026,,,,,,,,0,network-analysis2\20260310_145357\ping_192.168.111.1.txt
20260310_153356,192.168.70.142,ok,ping -c 10 192.168.70.142,Tue 10 Mar 15:33:56 GMT 2026,10,10,0.0,0.239,0.248,0.264,0.006,10,network-analysis2\20260310_153356\ping_192.168.70.142.txt
20260310_154549,192.168.26.143,ok,ping -c 10 192.168.26.143,Tue 10 Mar 15:45:49 GMT 2026,8,8,0.0,3.521,4.937,8.145,1.411,8,network-analysis2\20260310_154549\ping_192.168.26.143.txt
20260310_154558,192.168.26,command_failed,ping -c 10 192.168.26,Tue 10 Mar 15:45:58 GMT 2026,,,,,,,,0,network-analysis2\20260310_154558\ping_192.168.26.txt
20260310_154711,192.168.26.148,ok,ping -c 10 192.168.26.148,Tue 10 Mar 15:47:11 GMT 2026,10,10,0.0,3.623,4.432,5.051,0.37,10,network-analysis2\20260310_154711\ping_192.168.26.148.txt
20260310_154958,192.168.61,command_failed,ping -c 10 192.168.61,Tue 10 Mar 15:49:58 GMT 2026,,,,,,,,0,network-analysis2\20260310_154958\ping_192.168.61.txt
20260317_135151,"192.168,20.1",command_failed,"ping -c 10 192.168,20.1",Tue 17 Mar 13:51:51 GMT 2026,,,,,,,,0,"network-analysis2\20260317_135151\ping_192.168,20.1.txt"
20260317_135201,192.168.20.1,ok,ping -c 10 192.168.20.1,Tue 17 Mar 13:52:01 GMT 2026,10,10,0.0,0.234,0.243,0.258,0.006,10,network-analysis2\20260317_135201\ping_192.168.20.1.txt
20260317_140433,"192.168,20.1",command_failed,"ping -c 10 192.168,20.1",Tue 17 Mar 14:04:33 GMT 2026,,,,,,,,0,"network-analysis2\20260317_140433\ping_192.168,20.1.txt"
20260317_140436,192.168.#20.1,command_failed,ping -c 10 192.168.#20.1,Tue 17 Mar 14:04:36 GMT 2026,,,,,,,,0,network-analysis2\20260317_140436\ping_192.168.#20.1.txt
20260317_140442,192.168.20.1,ok,ping -c 10 192.168.20.1,Tue 17 Mar 14:04:42 GMT 2026,10,10,0.0,0.226,0.24,0.254,0.007,10,network-analysis2\20260317_140442\ping_192.168.20.1.txt
20260317_140610,192.168.20.60,ok,ping -c 10 192.168.20.60,Tue 17 Mar 14:06:10 GMT 2026,10,10,0.0,0.225,0.25,0.417,0.055,10,network-analysis2\20260317_140610\ping_192.168.20.60.txt
20260317_142017,192.168.20.1,ok,ping -c 10 192.168.20.1,Tue 17 Mar 14:20:17 GMT 2026,10,10,0.0,4.747,5.066,6.988,0.656,10,network-analysis2\20260317_142017\ping_192.168.20.1.txt
20260317_142112,192.168.120.1,ok,ping -c 10 192.168.120.1,Tue 17 Mar 14:21:12 GMT 2026,10,10,0.0,4.147,5.503,14.745,3.104,10,network-analysis2\20260317_142112\ping_192.168.120.1.txt
20260317_142234,192.168.120.61,ok,ping -c 10 192.168.120.61,Tue 17 Mar 14:22:34 GMT 2026,10,10,0.0,2.116,6.18,24.183,6.448,10,network-analysis2\20260317_142234\ping_192.168.120.61.txt
20260317_142434,192.168.120.1,ok,ping -c 10 192.168.120.1,Tue 17 Mar 14:24:35 GMT 2026,10,10,0.0,0.236,0.25,0.291,0.014,10,network-analysis2\20260317_142434\ping_192.168.120.1.txt
20260317_142619,192.168.120.61,ok,ping -c 10 192.168.120.61,Tue 17 Mar 14:26:19 GMT 2026,10,10,0.0,4.201,4.579,4.89,0.176,10,network-analysis2\20260317_142619\ping_192.168.120.61.txt
20260317_150127,192.168.20.1,ok,ping -c 10 192.168.20.1,Tue 17 Mar 15:01:27 GMT 2026,10,10,0.0,4.233,4.453,5.363,0.356,10,network-analysis2\20260317_150127\ping_192.168.20.1.txt
