"target","iperf_receiver_mbps","iperf_sender_mbps","sender_retransmits","run_id"
"192.168.70.142","","939.0","0","20260310_153521"
"192.168.26.143","","20.4","0","20260310_154624"
"192.168.26.148","","20.6","0","20260310_154741"
"192.168.20.1","","938.0","0","20260317_140506"
"192.168.20.60","936.0","938.0","0","20260317_140627"
"192.168.20.1","25.6","26.7","0","20260317_142032"
"192.168.120.1","20.4","22.9","0","20260317_142142"
"192.168.120.61","6.13","6.63","41","20260317_142200"
"192.168.120.1","936.0","938.0","0","20260317_142507"
"192.168.120.61","23.2","26.1","0","20260317_142552"
"192.168.20.1","26.8","28.5","0","20260317_150201"
